node_name,vehicles,power,vehicles_per_watt,trend
rsu1,0,57.0,0.0,59.70679380214544
rsu1,1,57.0,0.017543859649122806,59.84386174016689
rsu1,2,63.0,0.031746031746031744,59.98092967818834
rsu1,3,63.0,0.047619047619047616,60.11799761620979
rsu1,6,62.0,0.0967741935483871,60.52920143027414
rsu1,8,64.0,0.125,60.80333730631704
rsu1,9,57.0,0.15789473684210525,60.940405244338486
rsu1,10,60.0,0.16666666666666666,61.07747318235994
rsu2,0,54.0,0.0,54.27272727272729
rsu2,1,55.0,0.01818181818181818,54.818181818181834
rsu2,2,54.0,0.037037037037037035,55.36363636363638
rsu2,3,59.0,0.05084745762711865,55.90909090909093
rsu2,4,55.0,0.07272727272727272,56.45454545454548
rsu2,5,60.0,0.08333333333333333,57.00000000000003
rsu2,6,55.0,0.10909090909090909,57.545454545454575
rsu2,7,57.0,0.12280701754385964,58.09090909090912
rsu2,8,57.0,0.14035087719298245,58.63636363636367
rsu2,9,60.0,0.15,59.181818181818215
rsu2,10,61.0,0.16393442622950818,59.72727272727276
rsu3,0,61.0,0.0,58.0828902522154
rsu3,1,60.0,0.016666666666666666,58.40299931833674
rsu3,2,60.0,0.03333333333333333,58.72310838445807
rsu3,3,58.0,0.05172413793103448,59.04321745057941
rsu3,4,59.0,0.06779661016949153,59.36332651670075
rsu3,5,57.0,0.08771929824561403,59.683435582822085
rsu3,6,60.0,0.1,60.003544648943425
rsu3,7,61.0,0.11475409836065574,60.323653715064765
rsu3,8,62.0,0.12903225806451613,60.6437627811861
rsu3,9,62.0,0.14516129032258066,60.96387184730744
rsu3,10,58.0,0.1724137931034483,61.28398091342877
rsu3,11,56.0,0.19642857142857142,61.60408997955011
rsu3,12,60.0,0.2,61.92419904567145
rsu3,13,64.0,0.203125,62.24430811179278
rsu3,14,60.0,0.23333333333333334,62.56441717791412
rsu3,15,60.0,0.25,62.88452624403546
rsu3,16,65.0,0.24615384615384617,63.204635310156796
rsu3,17,65.0,0.26153846153846155,63.524744376278136
rsu3,18,65.0,0.27692307692307694,63.84485344239947
rsu3,19,67.0,0.2835820895522388,64.16496250852082
rsu3,20,63.0,0.31746031746031744,64.48507157464215
rsu3,21,66.0,0.3181818181818182,64.80518064076348
rsu3,22,68.0,0.3235294117647059,65.12528970688483
rsu3,23,64.0,0.359375,65.44539877300616
rsu3,24,70.0,0.34285714285714286,65.7655078391275
rsu3,25,68.0,0.36764705882352944,66.08561690524883
rsu3,26,63.0,0.4126984126984127,66.40572597137017
rsu3,27,68.0,0.39705882352941174,66.7258350374915
rsu3,28,67.0,0.417910447761194,67.04594410361284
rsu3,29,68.0,0.4264705882352941,67.36605316973419
rsu3,30,67.0,0.44776119402985076,67.68616223585552
rsu3,31,67.0,0.4626865671641791,68.00627130197685
rsu3,33,67.0,0.4925373134328358,68.64648943421953
rsu3,37,70.0,0.5285714285714286,69.92692569870488
rsu5,0,50.0,0.0,48.63498622589532
rsu5,1,51.0,0.0196078431372549,49.16804407713499
rsu5,2,48.0,0.041666666666666664,49.701101928374655
rsu5,3,50.0,0.06,50.23415977961433
rsu5,4,47.0,0.0851063829787234,50.767217630854
rsu5,5,49.0,0.10204081632653061,51.30027548209367
rsu5,6,53.0,0.11320754716981132,51.833333333333336
rsu5,7,53.0,0.1320754716981132,52.366391184573004
rsu5,8,57.0,0.14035087719298245,52.89944903581268
rsu5,9,53.0,0.16981132075471697,53.43250688705235
rsu5,10,54.0,0.18518518518518517,53.96556473829202
rsu5,17,57.0,0.2982456140350877,57.6969696969697
rsu6,0,59.0,0.0,62.44496752881957
rsu6,1,59.0,0.01694915254237288,62.81061099750566
rsu6,2,65.0,0.03076923076923077,63.176254466191764
rsu6,3,69.0,0.043478260869565216,63.54189793487786
rsu6,4,59.0,0.06779661016949153,63.907541403563954
rsu6,5,60.0,0.08333333333333333,64.27318487225006
rsu6,6,69.0,0.08695652173913043,64.63882834093614
rsu6,7,68.0,0.10294117647058823,65.00447180962225
rsu6,8,60.0,0.13333333333333333,65.37011527830835
rsu6,9,66.0,0.13636363636363635,65.73575874699443
rsu6,11,59.0,0.1864406779661017,66.46704568436662
rsu6,17,77.0,0.22077922077922077,68.66090649648321
rsu6,19,76.0,0.25,69.3921934338554
rsu6,20,76.0,0.2631578947368421,69.7578369025415
rsu6,22,71.0,0.30985915492957744,70.48912383991369
rsu6,23,77.0,0.2987012987012987,70.85476730859979
rsu6,24,75.0,0.32,71.22041077728589
rsu6,25,59.0,0.423728813559322,71.58605424597198
rsu6,26,77.0,0.33766233766233766,71.95169771465808
rsu6,27,59.0,0.4576271186440678,72.31734118334418
rsu6,28,76.0,0.3684210526315789,72.68298465203027
rsu6,29,76.0,0.3815789473684211,73.04862812071637
rsu6,30,75.0,0.4,73.41427158940246
rsu6,31,77.0,0.4025974025974026,73.77991505808856
rsu6,32,76.0,0.42105263157894735,74.14555852677466
rsu6,33,74.0,0.44594594594594594,74.51120199546075
rsu6,34,76.0,0.4473684210526316,74.87684546414685
rsu6,35,76.0,0.4605263157894737,75.24248893283294
rsu6,36,77.0,0.4675324675324675,75.60813240151904
rsu6,37,78.0,0.47435897435897434,75.97377587020515
rsu6,38,76.0,0.5,76.33941933889123
rsu6,39,63.0,0.6190476190476191,76.70506280757733
rsu6,40,77.0,0.5194805194805194,77.07070627626344
rsu7,0,60.0,0.0,60.92171539004262
rsu7,1,63.0,0.015873015873015872,61.283812386883014
rsu7,2,60.0,0.03333333333333333,61.64590938372341
rsu7,3,61.0,0.04918032786885246,62.008006380563806
rsu7,4,62.0,0.06451612903225806,62.3701033774042
rsu7,5,60.0,0.08333333333333333,62.73220037424459
rsu7,6,61.0,0.09836065573770492,63.094297371084984
rsu7,7,64.0,0.109375,63.45639436792538
rsu7,8,60.0,0.13333333333333333,63.81849136476577
rsu7,9,68.0,0.1323529411764706,64.18058836160617
rsu7,10,66.0,0.15151515151515152,64.54268535844656
rsu7,11,67.0,0.16417910447761194,64.90478235528695
rsu7,12,68.0,0.17647058823529413,65.26687935212735
rsu7,13,66.0,0.19696969696969696,65.62897634896774
rsu7,14,66.0,0.21212121212121213,65.99107334580813
rsu7,15,70.0,0.21428571428571427,66.35317034264853
rsu7,16,72.0,0.2222222222222222,66.71526733948892
rsu7,17,62.0,0.27419354838709675,67.07736433632931
rsu7,18,68.0,0.2647058823529412,67.43946133316972
rsu7,19,58.0,0.3275862068965517,67.80155833001011
rsu7,20,71.0,0.28169014084507044,68.1636553268505
rsu7,21,72.0,0.2916666666666667,68.5257523236909
rsu7,23,70.0,0.32857142857142857,69.24994631737168
rsu7,24,72.0,0.3333333333333333,69.61204331421207
rsu7,25,72.0,0.3472222222222222,69.97414031105247
rsu7,26,73.0,0.3561643835616438,70.33623730789286
rsu7,27,66.0,0.4090909090909091,70.69833430473325
rsu7,29,70.0,0.4142857142857143,71.42252829841405
rsu7,30,69.0,0.43478260869565216,71.78462529525444
